(-60, 367);(467, -56);(493, -393);(357, 502);(24, -198);(-292, 223);(-387, 250);(247, -405);(297, -57);(-510, -115);
(-60, 367);(441.0, 465.2);(512, 512);(437.0, 407.4);(24, -198);(-246.0, -347.8);(-419.0, -390.6);(343.0, 233.5);(297, -57);(-510, -115);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(24, -198);(-154.0, -294.825);(-419.0, -390.6);(512, 331.1875);(297, -57);(-510, -115);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(24, -198);(30.0, -195.50125);(-419.0, -390.6);(512.0, 501.959375);(297, -57);(-509.87258862654556, -150.39513655984985);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(24, -198);(398.0, -4.238531249999994);(-419.0, -390.6);(512.0, 501.959375);(297, -57);(-509.87258862654556, -150.39513655984985);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(24, -198);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(297, -57);(-509.87258862654556, -150.39513655984985);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(24, -198);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512, 110.87595364777253);(-509.87258862654556, -150.39513655984985);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512, 110.87595364777253);(-509.87258862654556, -150.39513655984985);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(158.40899182051697, 263.52674451121413);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(-512, -172.78184485438774);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(-512, -172.78184485438774);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(-512.0, -343.8273356425997);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(-512.0, -343.8273356425997);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(-512.0, -343.8273356425997);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(-512.0, -343.8273356425997);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(-512.0, -343.8273356425997);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
(-512.0, -343.8273356425997);(389.0, 439.425);(512, 512);(437.0, 407.4);(281.2213125473169, 512);(512, 370.609175);(-419.0, -390.6);(512.0, 501.959375);(512.0, 377.3448072372173);(-509.87258862654556, -150.39513655984985);
