(14, -358);(-32, 445);(461, -502);(-166, -507);(234, -413);(-424, -454);(174, 117);(502, -241);(69, -216);(-24, 282);
(14, -358);(-176.0, -31.1);(415.0, 407.9);(-166, -507);(150.0, 270.0);(-512, -363.7);(174, 117);(376.0, 491.2);(69, -216);(96.0, -70.80000000000001);
(14, -358);(-176.0, -31.1);(415.0, 407.9);(-166, -507);(150.0, 270.0);(-512, -363.7);(123.9815316218918, 176.23734581252285);(376.0, 491.2);(315.81826636299405, -18.179751100662685);(96.0, -70.80000000000001);
(14, -358);(-512, -338.7173114847452);(415.0, 407.9);(-166, -507);(150.0, 270.0);(-512, -363.7);(63.94459486567541, 142.88327556253623);(376.0, 491.2);(512, 165.21547792743078);(96.0, -70.80000000000001);
(14, -358);(-512, -338.7173114847452);(415.0, 407.9);(-166, -507);(-512, -156.24713165146525);(-512, -363.7);(63.94459486567541, 142.88327556253623);(376.0, 491.2);(512.0, 387.75269954066033);(201.97663651384852, 279.5853788975969);
(14, -358);(-512, -338.7173114847452);(415.0, 407.9);(-166, -507);(-512, -156.24713165146525);(-512, -363.7);(63.94459486567541, 142.88327556253623);(376.0, 491.2);(512.0, 387.75269954066033);(201.97663651384852, 279.5853788975969);
(14, -358);(-512, -338.7173114847452);(415.0, 407.9);(-166, -507);(-512, -156.24713165146525);(-512, -363.7);(63.94459486567541, 142.88327556253623);(376.0, 491.2);(512.0, 387.75269954066033);(201.97663651384852, 279.5853788975969);
(14, -358);(-512, -338.7173114847452);(415.0, 407.9);(-166, -507);(-512.0, -336.68691066736415);(-512, -363.7);(63.94459486567541, 142.88327556253623);(376.0, 491.2);(512.0, 387.75269954066033);(-392.508690035659, 148.42900134504646);
(14, -358);(-512, -338.7173114847452);(415.0, 407.9);(-166, -507);(-512.0, -336.68691066736415);(-512, -363.7);(212.51715524849078, -146.38691246156148);(376.0, 491.2);(512.0, 387.75269954066033);(-392.508690035659, 148.42900134504646);
(14, -358);(-512, -338.7173114847452);(415.0, 407.9);(-166, -507);(-512.0, -336.68691066736415);(-512, -363.7);(212.51715524849078, -146.38691246156148);(376.0, 491.2);(512.0, 387.75269954066033);(-392.508690035659, 148.42900134504646);
(14, -358);(-512, -338.7173114847452);(415.0, 407.9);(-190.124813918808, -508.76321862782214);(-512.0, -336.68691066736415);(-512, -363.7);(212.51715524849078, -146.38691246156148);(376.0, 491.2);(512.0, 387.75269954066033);(-392.508690035659, 148.42900134504646);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-190.124813918808, -508.76321862782214);(-512.0, -336.68691066736415);(-512, -363.7);(212.51715524849078, -146.38691246156148);(376.0, 491.2);(512.0, 387.75269954066033);(-392.508690035659, 148.42900134504646);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-190.124813918808, -508.76321862782214);(-512.0, -336.68691066736415);(-512, -363.7);(212.51715524849078, -146.38691246156148);(376.0, 491.2);(512.0, 387.75269954066033);(-392.508690035659, 148.42900134504646);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-190.124813918808, -508.76321862782214);(-512.0, -336.68691066736415);(-512, -363.7);(-230.24150378743315, -489.95951918277285);(376.0, 491.2);(512.0, 387.75269954066033);(-512, 118.4609997652851);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-190.124813918808, -508.76321862782214);(-512.0, -336.68691066736415);(-512, -363.7);(-230.24150378743315, -489.95951918277285);(376.0, 491.2);(512.0, 387.75269954066033);(-512, 118.4609997652851);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-226.1780823327261, -512);(-512.0, -336.68691066736415);(-512, -363.7);(-230.24150378743315, -489.95951918277285);(376.0, 491.2);(512.0, 387.75269954066033);(-512, 118.4609997652851);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-226.1780823327261, -512);(-512.0, -336.68691066736415);(-512, -363.7);(-230.24150378743315, -489.95951918277285);(376.0, 491.2);(512.0, 387.75269954066033);(-512, 118.4609997652851);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-226.1780823327261, -512);(-512.0, -336.68691066736415);(-512, -363.7);(-230.24150378743315, -489.95951918277285);(376.0, 491.2);(512.0, 387.75269954066033);(-512, 118.4609997652851);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-226.1780823327261, -512);(-512.0, -336.68691066736415);(-512, -363.7);(-230.24150378743315, -489.95951918277285);(376.0, 491.2);(512.0, 387.75269954066033);(-512, 118.4609997652851);
(512, 152.52147870152677);(-512, -338.7173114847452);(415.0, 407.9);(-226.1780823327261, -512);(-512.0, -336.68691066736415);(-512, -363.7);(-230.24150378743315, -489.95951918277285);(376.0, 491.2);(512.0, 387.75269954066033);(-512.0, -371.00974132350416);
