(360, 480);(-252, 329);(353, 202);(451, 436);(-140, 439);(-512, -361);(469, 108);(386, 224);(-279, 279);(-490, 419);
(360, 480);(-314.1, -245.7);(353, 202);(451, 436);(-140, 439);(-512, -361);(421.3, 412.3);(386, 224);(-279, 279);(271.15222997674744, 512);
(360, 480);(-412.95831467976586, -339.8293272592995);(353, 202);(451, 436);(-140, 439);(-512, -361);(421.3, 412.3);(386, 224);(-279, 279);(271.15222997674744, 512);
(360, 480);(-449.304154601879, -387.1445152944826);(353, 202);(451, 436);(-140, 439);(-512, -361);(421.3, 412.3);(386, 224);(-279, 279);(271.15222997674744, 512);
(360, 480);(-420.79686775480275, -403.3192048804164);(353, 202);(451, 436);(-140, 439);(-512, -361);(512, 356.6764554694138);(386, 224);(-279, 279);(271.15222997674744, 512);
(360, 480);(-412.9277463643733, -393.29196093502486);(512, 144.2992924194662);(451, 436);(-140, 439);(-512, -361);(461.7252324582561, 450.19136876388933);(487.13163704875586, 447.47372493936837);(-279, 279);(271.15222997674744, 512);
(360, 480);(-412.9277463643733, -393.29196093502486);(482.486567505181, 474.4822530511055);(451, 436);(-140, 439);(-448.03096421872596, -378.4946644084189);(461.7252324582561, 450.19136876388933);(467.8586557615416, 437.12377387676634);(-279, 279);(271.15222997674744, 512);
(360, 480);(-412.9277463643733, -393.29196093502486);(474.0503164904901, 468.0470806499335);(451, 436);(-140, 439);(-448.03096421872596, -378.4946644084189);(461.7252324582561, 450.19136876388933);(453.403919796131, 430.3527583825495);(-467.39168627414506, -126.83131033037995);(441.28889226923496, 486.77485681091366);
(360, 480);(-412.9277463643733, -393.29196093502486);(467.9340345048392, 463.58168852043565);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(461.7252324582561, 450.19136876388933);(469.85917011989636, 447.97164336555903);(-467.39168627414506, -126.83131033037995);(441.28889226923496, 486.77485681091366);
(360, 480);(-412.9277463643733, -393.29196093502486);(467.9340345048392, 463.58168852043565);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(461.7252324582561, 450.19136876388933);(469.85917011989636, 447.97164336555903);(-467.39168627414506, -126.83131033037995);(441.28889226923496, 486.77485681091366);
(360, 480);(-412.462112824996, -384.0348607877904);(467.32355667133385, 450.16644535056014);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(471.02873725709475, 457.39553428194625);(-500.8715536795408, -353.86952627900797);(441.28889226923496, 486.77485681091366);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(441.28889226923496, 486.77485681091366);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(441.28889226923496, 486.77485681091366);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(450.42628660857804, 433.26741870754296);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(450.42628660857804, 433.26741870754296);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(450.42628660857804, 433.26741870754296);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(450.42628660857804, 433.26741870754296);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(450.42628660857804, 433.26741870754296);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(450.42628660857804, 433.26741870754296);
(360, 480);(-415.4990637294552, -395.810393950633);(457.15479057953036, 446.0026682210275);(456.3216183885001, 439.75294836550216);(-140, 439);(-448.03096421872596, -378.4946644084189);(460.3285378116217, 446.58604468867014);(466.7193660567244, 453.6423006858915);(-460.56966256112497, -389.4698613527635);(450.42628660857804, 433.26741870754296);
